2023-07-11 14:48:30.9687|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-07-11 14:48:30.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-11 14:48:30.9899|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-07-11 14:48:30.9899|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-11 14:48:30.9899|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-11 14:48:30.9899|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" received HEADERS frame for stream ID 1 with length 2651 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:31.0187|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBB5NRLG" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-11 14:48:31.0901|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.2707|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-07-11 14:48:56.2707|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-11 14:48:56.2707|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-07-11 14:48:56.2707|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-11 14:48:56.2872|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-11 14:48:56.2872|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 1 with length 2651 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.3105|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-11 14:48:56.3711|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.5505|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 1 with length 69 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger|action: |
2023-07-11 14:48:56.5580|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 3 with length 2659 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.5700|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:48:56.6557|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 3 with length 28 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |
2023-07-11 14:48:56.8630|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8663|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8663|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8663|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8663|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 999 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8663|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 5 with length 250 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 65 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 16 and flags NONE. |url: |action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 7 with length 2390 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 9 with length 231 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:56.8808|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 11 with length 2391 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" received HEADERS frame for stream ID 13 with length 232 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 9 with length 93 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 5 with length 43 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-07-11 14:48:56.8960|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9125|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 13 with length 60 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9284|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9437|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9437|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9437|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9437|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 13 with length 11998 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9593|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9746|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9912|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9912|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending HEADERS frame for stream ID 11 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
2023-07-11 14:48:56.9912|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 13 with length 0 and flags END_STREAM. |url: |action: |
2023-07-11 14:48:56.9912|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 11 with length 9986 and flags NONE. |url: |action: |
2023-07-11 14:48:56.9912|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 13857 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0588|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0588|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0688|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.0904|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. |url: |action: |
2023-07-11 14:48:57.0904|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1011|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1154|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1313|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1313|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 9 with length 867 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1313|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1313|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1477|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
2023-07-11 14:48:57.1477|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS1RBIOIDJT" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
