2023-08-08 16:05:38.1783|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-08-08 16:05:38.1908|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-08 16:05:38.1908|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-08-08 16:05:38.1908|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-08 16:05:38.1908|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-08 16:05:38.1908|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" received HEADERS frame for stream ID 1 with length 2605 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-08 16:05:38.2571|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" received RST_STREAM frame for stream ID 1 with length 4 and flags 0x0. |url: |action: |
2023-08-08 16:05:38.2571|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSP00DGHV" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-08 16:05:38.4023|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
2023-08-08 16:06:41.7349|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-08-08 16:06:41.7349|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSNSPJ1ALG5" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
