2023-08-14 19:01:56.8788|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-08-14 19:01:56.8788|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-14 19:01:56.8788|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-08-14 19:01:56.8788|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-14 19:01:56.8918|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-14 19:01:56.8918|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" received HEADERS frame for stream ID 1 with length 2605 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-14 19:01:56.9188|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-14 19:01:56.9836|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
2023-08-14 19:01:57.1950|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 999 and flags NONE. |url: |action: |
2023-08-14 19:01:57.3643|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMSSMNG04CLD" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |
