2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-19 00:10:53.6159|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 1 with length 460 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.6421|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-19 00:10:53.6775|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger|action: |
2023-08-19 00:10:53.7856|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 1 with length 69 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger|action: |
2023-08-19 00:10:53.7890|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 3 with length 36 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.7890|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
2023-08-19 00:10:53.8375|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 3 with length 28 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 1024 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 997 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 65 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9354|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 16 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 5 with length 107 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 7 with length 52 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 9 with length 50 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 11 with length 51 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" received HEADERS frame for stream ID 13 with length 33 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 7 with length 124 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 5 with length 43 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui.css|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 9 with length 34 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending HEADERS frame for stream ID 11 with length 60 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 11 with length 11997 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9434|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 11 with length 0 and flags END_STREAM. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 5 with length 16384 and flags NONE. |url: |action: |
2023-08-19 00:10:53.9598|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT00MP7KGMK" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |
